K=200 T=1.0
T=1.0
Clustering x.shape=(116269, 162)
('Original shape:', (116269, 162))
Clustering into 200 categories ...
Initialization complete
Iteration 109, inertia 304.807
Iteration 110, inertia 304.807
Iteration 111, inertia 304.807
Iteration 112, inertia 304.807
Iteration 113, inertia 304.807
Iteration 114, inertia 304.807
Iteration 115, inertia 304.807
Iteration 116, inertia 304.807
Iteration 117, inertia 304.807
Iteration 118, inertia 304.807
Iteration 119, inertia 304.806
Iteration 120, inertia 304.806
Iteration 121, inertia 304.806
Converged at iteration 121
Initialization complete
Iteration  0, inertia 450.588
Iteration  1, inertia 322.392
Iteration  2, inertia 315.277
Iteration  3, inertia 312.437
Iteration  4, inertia 310.833
Iteration  5, inertia 309.754
Iteration  6, inertia 308.985
Iteration  7, inertia 308.415
Iteration  8, inertia 307.971
Iteration  9, inertia 307.618
Iteration 10, inertia 307.337
Iteration 11, inertia 307.102
Iteration 12, inertia 306.893
Iteration 13, inertia 306.705
Iteration 14, inertia 306.537
Iteration 15, inertia 306.378
Iteration 16, inertia 306.229
Iteration 17, inertia 306.086
Iteration 18, inertia 305.962
Iteration 19, inertia 305.859
Iteration 20, inertia 305.768
Iteration 21, inertia 305.687
Iteration 22, inertia 305.612
Iteration 23, inertia 305.543
Iteration 24, inertia 305.481
Iteration 25, inertia 305.425
Iteration 26, inertia 305.377
Iteration 27, inertia 305.334
Iteration 28, inertia 305.294
Iteration 29, inertia 305.256
Iteration 30, inertia 305.219
Iteration 31, inertia 305.182
Iteration 32, inertia 305.147
Iteration 33, inertia 305.113
Iteration 34, inertia 305.084
Iteration 35, inertia 305.055
Iteration 36, inertia 305.029
Iteration 37, inertia 305.006
Iteration 38, inertia 304.983
Iteration 39, inertia 304.962
Iteration 40, inertia 304.943
Iteration 41, inertia 304.925
Iteration 42, inertia 304.908
Iteration 43, inertia 304.889
Iteration 44, inertia 304.870
Iteration 45, inertia 304.855
Iteration 46, inertia 304.842
Iteration 47, inertia 304.829
Iteration 48, inertia 304.817
